Date,Open,High,Low,Close,Adj Close,Volume
2018-09-14,973.900024,981.500000,962.049988,968.750000,956.285583,4037498
2018-09-17,958.450012,978.000000,945.549988,950.200012,937.974243,2575256
2018-09-18,953.500000,963.150024,926.400024,929.349976,917.392456,2383441
2018-09-19,937.950012,939.599976,901.599976,909.349976,897.649841,3617661
2018-09-21,919.799988,931.500000,853.599976,890.250000,878.795593,4484082
2018-09-24,896.000000,903.000000,851.599976,860.750000,849.675171,2679422
2018-09-25,860.700012,887.750000,857.500000,882.549988,871.194702,2487594
2018-09-26,891.000000,910.000000,885.900024,891.750000,880.276306,2762045
2018-09-27,892.000000,904.000000,873.000000,896.349976,884.817078,6167183
2018-09-28,898.349976,918.000000,882.000000,900.950012,889.357910,4432773
2018-10-01,905.549988,905.549988,879.500000,895.900024,884.372925,2129770
2018-10-03,897.000000,913.900024,892.549988,898.049988,886.495239,2085452
2018-10-04,890.000000,894.900024,842.099976,854.750000,843.752319,2757822
2018-10-05,851.000000,866.549988,830.000000,838.750000,827.958252,2351664
2018-10-08,835.000000,855.000000,818.049988,850.000000,839.063477,2049160
2018-10-09,859.000000,882.500000,846.000000,868.900024,857.720337,2676148
2018-10-10,874.950012,885.000000,855.000000,858.099976,847.059204,2151667
2018-10-11,840.000000,862.400024,831.599976,836.549988,825.786499,1733915
2018-10-12,841.000000,853.000000,836.049988,846.250000,835.361694,1554768
2018-10-15,849.000000,892.450012,849.000000,886.799988,875.390015,2996361
2018-10-16,889.000000,911.049988,889.000000,896.450012,884.915833,2574095
2018-10-17,900.000000,909.349976,885.000000,896.650024,885.113220,1609068
2018-10-19,888.000000,905.799988,859.200012,880.250000,868.924255,2574321
2018-10-22,885.000000,893.450012,876.200012,882.450012,871.095947,1526383
2018-10-23,880.950012,880.950012,848.049988,851.000000,840.050659,1655570
2018-10-24,855.099976,865.950012,842.000000,860.950012,849.872620,1447748
2018-10-25,853.549988,874.700012,847.049988,851.299988,840.346741,2299649
2018-10-26,850.099976,862.500000,838.599976,855.150024,844.147217,1517769
2018-10-29,853.000000,894.849976,853.000000,888.349976,876.919983,2001176
2018-10-30,889.000000,889.349976,871.799988,876.650024,865.370605,1182970
2018-10-31,879.599976,914.900024,867.549988,885.450012,874.057373,4917307
2018-11-01,875.000000,880.250000,848.099976,852.049988,841.087097,2610053
2018-11-02,858.000000,864.000000,845.099976,849.900024,838.964783,1361060
2018-11-05,849.700012,860.650024,843.000000,853.700012,842.715881,1225002
2018-11-06,839.950012,856.400024,839.000000,850.950012,840.001282,1369770
2018-11-07,855.000000,855.000000,850.250000,852.049988,841.087097,97306
2018-11-09,850.000000,861.000000,848.500000,854.900024,843.900452,1443200
2018-11-12,858.000000,876.799988,853.099976,859.900024,848.836121,1952831
2018-11-13,859.750000,865.599976,847.000000,853.700012,842.715881,1001954
2018-11-14,858.000000,860.299988,831.099976,840.250000,829.438965,1465487
2018-11-15,841.000000,855.000000,840.200012,853.750000,842.765259,829607
2018-11-16,857.900024,869.900024,855.450012,864.700012,853.574341,1154745
2018-11-19,868.000000,875.000000,851.700012,855.500000,844.492676,1287405
2018-11-20,854.549988,861.450012,843.000000,848.599976,837.681519,875924
2018-11-21,852.500000,857.549988,845.500000,849.549988,838.619202,1226962
2018-11-22,852.000000,855.900024,844.500000,850.700012,839.754456,961754
2018-11-26,851.000000,854.799988,833.650024,844.900024,834.029114,1522060
2018-11-27,849.000000,857.700012,842.000000,851.000000,840.050659,1956636
2018-11-28,832.000000,870.000000,830.000000,866.599976,855.449829,4459561
2018-11-29,867.000000,894.000000,861.299988,868.250000,857.078674,4806533
2018-11-30,870.000000,891.599976,866.000000,886.750000,875.340637,2419585
2018-12-03,886.549988,905.000000,870.250000,901.299988,889.703369,2378359
2018-12-04,901.000000,906.000000,878.299988,887.650024,876.229065,1450362
2018-12-05,888.000000,889.799988,848.000000,859.349976,848.293152,3255984
2018-12-06,852.000000,869.000000,845.400024,847.000000,836.102051,1720427
2018-12-07,853.000000,859.000000,832.200012,841.299988,830.475403,2335261
2018-12-10,834.000000,840.000000,808.900024,812.750000,802.292786,2738848
2018-12-11,803.000000,842.000000,802.299988,835.000000,824.256470,2004151
2018-12-12,837.000000,847.700012,813.000000,821.650024,811.078247,2342740
2018-12-13,815.000000,855.000000,806.200012,847.299988,836.398254,4847312
2018-12-14,850.900024,857.000000,830.500000,843.849976,832.992554,2701885
2018-12-17,848.000000,855.500000,840.500000,847.450012,836.546326,1213014
2018-12-18,846.349976,848.500000,836.799988,845.000000,834.127808,892197
2018-12-19,848.000000,850.650024,838.099976,842.000000,831.166382,1037755
2018-12-20,840.000000,859.700012,839.500000,855.049988,844.048523,1520946
2018-12-21,855.150024,868.700012,853.049988,858.450012,847.404724,1800180
2018-12-24,874.000000,876.849976,832.200012,838.250000,827.464661,3541535
2018-12-26,828.000000,840.400024,817.049988,833.200012,822.479675,1441827
2018-12-27,837.000000,841.900024,830.099976,838.700012,827.908875,1217908
2018-12-28,841.000000,852.000000,836.799988,840.299988,829.488220,1133640
2018-12-31,846.000000,850.799988,836.650024,844.299988,833.436829,1149648
2019-01-01,848.700012,852.700012,839.000000,841.450012,830.623474,1122895
2019-01-02,842.000000,847.000000,826.049988,832.799988,822.084778,1115202
2019-01-03,836.000000,840.750000,818.299988,821.049988,810.485962,987539
2019-01-04,824.000000,832.000000,820.299988,828.900024,818.234985,1279403
2019-01-07,834.049988,835.000000,818.500000,820.450012,809.893677,948727
2019-01-08,823.799988,843.750000,821.150024,841.700012,830.870300,1404676
2019-01-09,844.000000,844.900024,830.049988,838.150024,827.365967,928337
2019-01-10,836.599976,842.900024,833.500000,838.000000,827.217896,737445
2019-01-11,838.500000,842.000000,828.099976,839.349976,828.550476,824260
2019-01-14,837.799988,840.950012,828.500000,834.750000,824.009644,922667
2019-01-15,836.500000,853.000000,833.049988,849.700012,838.767395,1071980
2019-01-16,850.400024,865.500000,845.099976,863.200012,852.093628,1681645
2019-01-17,863.650024,875.000000,860.099976,868.750000,857.572205,1995674
2019-01-18,861.099976,867.349976,851.849976,862.299988,851.205200,1824696
2019-01-21,857.000000,879.700012,857.000000,866.650024,855.499268,1712240
2019-01-22,866.000000,872.400024,851.000000,865.450012,854.314697,1258723
2019-01-23,866.000000,873.599976,859.250000,864.599976,853.475586,837289
2019-01-24,866.000000,870.950012,858.200012,868.400024,857.226746,701634
2019-01-25,870.000000,879.400024,855.099976,865.049988,853.919800,1345215
2019-01-28,849.150024,870.650024,844.299988,865.250000,854.117249,2416180
2019-01-29,863.700012,875.000000,855.000000,860.650024,849.576477,1468995
2019-01-30,861.000000,872.500000,861.000000,866.900024,855.746033,930968
2019-01-31,868.150024,885.950012,866.000000,875.700012,864.432800,2347389
2019-02-01,879.700012,888.000000,870.299988,883.099976,871.737610,1032450
2019-02-04,882.950012,888.650024,848.549988,855.900024,844.887573,1352120
2019-02-05,855.500000,855.500000,830.349976,837.700012,826.921753,1344930
2019-02-06,838.000000,851.500000,805.000000,842.099976,831.265137,6429178
2019-02-07,832.000000,844.549988,810.400024,822.799988,812.213440,3613894
2019-02-08,822.000000,836.299988,805.099976,830.750000,820.061157,2050927
2019-02-11,821.500000,829.750000,808.000000,820.500000,809.943054,1689390
2019-02-12,822.549988,824.750000,806.250000,810.950012,800.515869,1711425
2019-02-14,793.049988,812.000000,790.500000,810.200012,799.775574,1848763
2019-02-15,809.000000,809.950012,767.099976,774.750000,764.781677,2939666
2019-02-18,778.099976,785.000000,760.500000,770.900024,760.981201,2332485
2019-02-19,776.000000,776.000000,761.099976,763.099976,753.281494,1382541
2019-02-20,766.000000,768.450012,752.599976,762.650024,752.837402,1452620
2019-02-21,760.549988,772.000000,755.000000,769.799988,759.895325,1554032
2019-02-22,771.950012,782.650024,767.049988,777.700012,767.693726,1503832
2019-02-25,778.000000,784.799988,770.500000,777.450012,767.446960,1069147
2019-02-26,777.000000,781.000000,764.099976,776.099976,766.114258,1303086
2019-02-27,778.000000,787.000000,765.000000,768.000000,758.118530,1370928
2019-02-28,765.049988,773.500000,761.049988,763.750000,753.923218,2419997
